Image Name,Width,Height,Mean Intensity,Standard Deviation,Minimum Pixel,Maximum Pixel
000.png,900,900,135.79,92.09,33,255
001.png,900,900,137.53,92.18,33,255
002.png,900,900,135.61,91.76,31,255
003.png,900,900,135.28,92.46,31,255
004.png,900,900,137.9,92.27,32,255
005.png,900,900,133.88,92.89,32,255
006.png,900,900,137.2,91.13,33,255
007.png,900,900,135.96,92.3,32,255
008.png,900,900,135.47,92.39,32,255
009.png,900,900,134.61,92.41,31,255
010.png,900,900,134.98,92.67,32,255
011.png,900,900,135.39,93.07,32,255
012.png,900,900,137.88,91.37,32,255
013.png,900,900,134.77,92.82,32,255
014.png,900,900,135.87,92.35,32,255
015.png,900,900,134.95,93.03,32,255
016.png,900,900,134.5,92.86,32,255
017.png,900,900,135.61,92.8,32,255
018.png,900,900,135.23,92.74,32,255
019.png,900,900,136.49,92.56,31,255
020.png,900,900,135.49,92.44,33,255
021.png,900,900,135.85,92.65,32,255
022.png,900,900,135.45,93.16,32,255
023.png,900,900,134.37,92.4,32,255
024.png,900,900,136.82,92.12,32,255
025.png,900,900,134.75,92.95,32,255
026.png,900,900,134.97,92.51,32,255
027.png,900,900,133.38,93.61,31,255
028.png,900,900,136.14,92.58,32,255
029.png,900,900,133.48,93.74,32,255
030.png,900,900,136.0,92.6,33,255
031.png,900,900,135.38,92.36,33,255
032.png,900,900,133.77,93.0,32,255
033.png,900,900,134.41,93.0,32,255
034.png,900,900,133.3,93.63,31,255
035.png,900,900,138.5,92.22,31,255
036.png,900,900,133.91,92.89,32,255
037.png,900,900,134.07,92.86,31,255
038.png,900,900,135.58,92.42,33,255
039.png,900,900,135.01,92.63,32,255
040.png,900,900,137.86,92.59,31,255
041.png,900,900,136.37,92.09,32,255
042.png,900,900,134.84,92.58,32,255
043.png,900,900,134.15,92.77,32,255
044.png,900,900,136.41,92.58,32,255
045.png,900,900,136.57,92.52,32,255
046.png,900,900,134.62,93.24,31,255
047.png,900,900,134.69,93.03,33,255
048.png,900,900,137.78,92.49,32,255
049.png,900,900,135.99,91.91,32,255
050.png,900,900,135.72,92.67,32,255
051.png,900,900,135.97,92.1,32,255
052.png,900,900,138.47,91.42,32,255
053.png,900,900,135.68,91.86,33,255
054.png,900,900,137.15,91.22,33,255
055.png,900,900,138.62,91.22,32,255
056.png,900,900,137.43,92.12,32,255
057.png,900,900,135.35,92.23,32,255
058.png,900,900,134.58,93.03,32,255
059.png,900,900,134.96,92.6,32,255
060.png,900,900,135.87,92.95,32,255
061.png,900,900,136.77,91.86,33,255
062.png,900,900,135.4,92.64,32,255
063.png,900,900,137.77,91.55,32,255
064.png,900,900,137.83,91.58,31,255
065.png,900,900,134.84,92.35,32,255
066.png,900,900,135.25,92.43,32,255
067.png,900,900,136.0,92.71,31,255
068.png,900,900,137.17,92.57,32,255
069.png,900,900,138.64,91.94,32,255
070.png,900,900,138.13,92.03,32,255
071.png,900,900,135.94,92.6,32,255
072.png,900,900,136.09,91.84,32,255
073.png,900,900,133.52,93.51,32,255
074.png,900,900,135.41,92.02,32,255
075.png,900,900,135.3,92.16,32,255
076.png,900,900,134.94,92.19,32,255
077.png,900,900,134.9,92.59,32,255
078.png,900,900,135.85,92.64,32,255
079.png,900,900,133.64,92.85,32,255
080.png,900,900,137.34,92.57,32,255
081.png,900,900,134.16,93.53,32,255
082.png,900,900,134.65,92.23,33,255
083.png,900,900,138.18,92.03,32,255
084.png,900,900,135.9,91.83,33,255
085.png,900,900,135.75,92.32,32,255
086.png,900,900,135.66,92.22,33,255
087.png,900,900,136.97,92.05,32,255
088.png,900,900,136.09,91.53,32,255
089.png,900,900,135.95,91.61,34,255
090.png,900,900,137.4,92.13,32,255
091.png,900,900,137.04,92.71,32,255
092.png,900,900,135.71,91.96,33,255
093.png,900,900,134.96,92.54,32,255
094.png,900,900,134.31,92.73,32,255
095.png,900,900,137.83,92.19,32,255
096.png,900,900,137.39,92.38,32,255
097.png,900,900,135.36,92.01,32,255
098.png,900,900,134.03,92.54,32,255
099.png,900,900,136.25,91.51,32,255
100.png,900,900,134.67,92.69,32,255
101.png,900,900,135.5,92.14,32,255
102.png,900,900,136.77,91.69,33,255
103.png,900,900,136.5,91.95,33,255
104.png,900,900,136.1,92.76,32,255
105.png,900,900,135.59,92.57,32,255
106.png,900,900,134.57,92.32,33,255
107.png,900,900,136.1,92.07,33,255
108.png,900,900,136.08,91.96,33,255
109.png,900,900,135.43,92.05,32,255
110.png,900,900,137.45,92.34,32,255
111.png,900,900,135.36,92.76,32,255
112.png,900,900,135.53,92.35,32,255
113.png,900,900,137.54,92.11,33,255
114.png,900,900,135.4,92.03,34,255
115.png,900,900,134.28,92.57,33,255
116.png,900,900,135.96,91.77,32,255
117.png,900,900,138.03,92.25,32,255
118.png,900,900,137.14,91.82,32,255
119.png,900,900,136.04,91.78,33,255
120.png,900,900,137.56,92.26,33,255
121.png,900,900,136.51,92.01,33,255
122.png,900,900,135.86,92.07,32,255
123.png,900,900,135.9,92.69,32,255
124.png,900,900,138.0,91.84,32,255
125.png,900,900,135.77,92.51,32,255
